pattern	constr_id	form	correct_number	cls_token_num	attr	len2_nsubj	len_prefix	len_context	que_id	freq	rel_nsubj_inversed	sent	pos
subj_rel_aux	10	fut	sing	sing	False	2	8	6	5	65713	False	""" Un coup de canon qu' on tira fut le signal auquel nous vîmes ouvrir les portes de la ville . <eos>"	PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX DET NOUN PRON PRON VERB VERB DET NOUN ADP DET NOUN PUNCT
subj_rel_verb	11	paraissait	sing	sing	False	19	25	6	22	232	False	""" Un rude combat se livrait visiblement dans l' esprit de Caderousse : il était évident que ce petit étui de chagrin qu' il tournait paraissait pas correspondre comme valeur à la somme énorme qui fascinait ses yeux . <eos>"	PUNCT DET ADJ NOUN PRON VERB ADV ADP DET NOUN ADP PROPN PUNCT PRON AUX ADJ SCONJ DET ADJ NOUN ADP NOUN PRON PRON VERB VERB ADV VERB ADP NOUN ADP DET NOUN ADJ PRON VERB DET NOUN PUNCT
subj_rel_aux	12	a	sing	sing	False	2	8	6	5	355555	False	- La garde à pied que tu commandais a été admirable ! ... <eos>	PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX AUX ADJ PUNCT PUNCT
subj_rel_aux	13	était	sing	sing	False	32	38	6	35	88321	False	-- Je ne sais si elle avait pleuré abondamment son époux défunt ; si elle l' avait fait , en tout cas , il n' y paraissait guère , et le joli mouchoir de batiste qu' elle tenait était aussi parfaitement sec que possible . <eos>	PUNCT PRON ADV VERB SCONJ PRON AUX VERB ADV DET NOUN ADJ PUNCT SCONJ PRON PRON AUX VERB PUNCT ADP DET NOUN PUNCT PRON ADV PRON VERB ADV PUNCT CCONJ DET ADJ NOUN ADP NOUN PRON PRON VERB AUX ADV ADV ADJ SCONJ ADJ PUNCT
subj_rel_aux	14	a	sing	sing	False	18	24	6	21	355555	False	-- Le hasard , peut-être ... oui ... le hasard , et pourtant , malgré moi , cette diable de croix qu' il laissait a fait l' effet d' un mauvais présage , car à peine a-t-il été parti que nous avons été accablés coup sur coup . <eos>	PUNCT DET NOUN PUNCT ADV PUNCT INTJ PUNCT DET NOUN PUNCT CCONJ ADV PUNCT ADP PRON PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX VERB DET NOUN ADP DET ADJ NOUN PUNCT CCONJ ADP NOUN PRON AUX VERB SCONJ PRON AUX AUX VERB NOUN ADP NOUN PUNCT
subj_rel_verb	15	doit	sing	sing	False	40	46	6	43	30852	False	--Attendez donc , dit-il au bout d' un instant ; pour venir ici , nous avons suivi deux canaux , l' un le _ Cerberus _ , l' autre l ' _ Hephœstis _ ; j' en conclus que cette nappe d' eau que j' aperçois doit être le _ Lacus Mœris _ de Schiaparelli ; d' autres l' appellent aussi golfe _ Main _ . <eos>	VERB ADV PUNCT PRON ADP NOUN ADP DET NOUN PUNCT ADP VERB ADV PUNCT PRON AUX VERB NUM NOUN PUNCT DET PRON DET PUNCT PROPN PUNCT PUNCT DET PRON DET VERB PUNCT PROPN PUNCT PUNCT PRON PRON VERB SCONJ DET NOUN ADP NOUN PRON PRON VERB VERB AUX DET PUNCT PROPN PROPN PUNCT ADP PROPN PUNCT DET PRON PRON VERB ADV NOUN PUNCT PROPN PUNCT PUNCT
subj_rel_aux	16	soit	sing	sing	none	8	14	6	11	41764	False	--C' est tout ... Trouves-tu donc que ce passé de Croutot que je connais soit pas suffisant pour le faire obéir ? <eos>	PRON AUX PRON PUNCT PRON ADV SCONJ DET NOUN ADP PROPN PRON PRON VERB AUX ADV ADJ ADP PRON AUX VERB PUNCT
subj_rel_aux	17	est	sing	sing	False	1	7	6	4	884505	False	--Cet état d' extase que j' admire est une maladie quand il se prolonge . <eos>	SCONJ NOUN ADP NOUN PRON PRON VERB AUX DET NOUN SCONJ PRON PRON VERB PUNCT
subj_rel_aux	18	est	sing	sing	False	7	13	6	10	884505	False	--Je le sais bien ... Mais ce sentiment de terreur que j' éprouve est pas de ceux que l' on surmonte par le raisonnement . <eos>	INTJ PRON VERB ADV PUNCT CCONJ DET NOUN ADP NOUN PRON PRON VERB AUX ADV ADP PRON PRON DET PRON VERB ADP DET NOUN PUNCT
subj_rel_verb	19	exigeait	sing	sing	False	23	29	6	26	216	False	--Je suis remplacé , fit Henri sans se douter qu' il disait une grossièreté ; vous m' en voyez tout heureux ; le genre de service que je viens exigeait que vous m' ayez assez oublié pour comprendre ce que je vais vous dire , et pas assez pour que vous m' ayez conservé votre bonne volonté . <eos>	INTJ AUX VERB PUNCT VERB PROPN ADP PRON VERB SCONJ PRON VERB DET NOUN PUNCT PRON PRON PRON VERB ADV ADJ PUNCT DET NOUN ADP NOUN PRON PRON VERB VERB SCONJ PRON PRON AUX ADV VERB ADP VERB PRON PRON PRON VERB PRON VERB PUNCT CCONJ ADV ADV ADP SCONJ PRON PRON AUX VERB DET ADJ NOUN PUNCT
subj_rel_aux	20	était	sing	plur	False	1	7	6	4	88321	False	--L' état de maison que vous tenez était déjà beaucoup trop considérable pour votre fortune ; je suis sûr que , lorsqu' il se verra débarrassé de Lugarto , M. de Lancry se jettera de nouveau dans de folles dépenses ... Vous avez encore maintenant net cent mille livres de rentes , votre hôtel payé ; eh bien ! <eos>	PRON NOUN ADP NOUN PRON PRON VERB AUX ADV ADV ADV ADJ ADP DET NOUN PUNCT PRON AUX ADJ SCONJ PUNCT SCONJ PRON PRON VERB VERB ADP PROPN PUNCT NOUN ADP PROPN PRON VERB ADP ADJ ADP DET ADJ NOUN PUNCT PRON VERB ADV ADV ADJ NUM NUM NOUN ADP NOUN PUNCT DET NOUN VERB PUNCT SYM ADV PUNCT
subj_rel_verb	21	ont	plur	plur	True	21	27	6	24	126706	False	--Les Européens , oui , mais , ma foi , les Esquimaux les mangent ; ils en vivent , et ces morceaux de phoque qu' ils mélangent ont rien d' appétissant . <eos>	PUNCT PROPN PUNCT ADJ PUNCT CCONJ PUNCT DET NOUN PUNCT DET NOUN PRON VERB PUNCT PRON PRON VERB PUNCT CCONJ DET NOUN ADP NOUN PRON PRON VERB VERB PRON ADP ADJ PUNCT
subj_rel_aux	22	sont	plur	sing	False	23	29	6	26	264728	False	--Mais , ajouta Bothwell , les niaiseries , les riens sont d' ordinaire la pierre d' achoppement des grandes entreprises : ces trois compagnies de gardes que j' ai sont bien moins à mes ordres , tout régent d' Écosse que je suis , que je ne suis , moi , leur prisonnier : elles me surveillent , elles m' observent ... Si je pars ostensiblement pour me mettre à la tête d' Écosse-Cavalerie , dix hommes me suivront et m' épieront de loin , donneront l' alarme et perdront tout ! <eos>	PUNCT PUNCT VERB PROPN PUNCT DET NOUN PUNCT DET NOUN AUX ADP ADJ DET NOUN ADP NOUN DET ADJ NOUN PUNCT DET NUM NOUN ADP NOUN PRON PRON VERB AUX ADV ADV ADP DET NOUN PUNCT DET NOUN ADP PROPN PRON PRON AUX PUNCT SCONJ PRON ADV AUX PUNCT PRON PUNCT DET NOUN PUNCT PRON PRON VERB PUNCT PRON PRON VERB PUNCT SCONJ PRON VERB ADV ADP PRON VERB ADP DET NOUN ADP PROPN PUNCT NUM NOUN PRON VERB CCONJ PRON VERB ADP ADV PUNCT VERB DET NOUN CCONJ VERB PRON PUNCT
subj_rel_aux	23	a	sing	plur	True	5	11	6	8	355555	False	--Mais , enfin , cet ordre de choses que vous critiquez a prévalu pendant des siècles . <eos>	PUNCT PUNCT ADV PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX VERB ADP DET NOUN PUNCT
subj_rel_aux	24	sont	plur	plur	True	21	27	6	24	264728	False	--Milord , milord , vous invoquez pour votre défense des choses qui vous accusent , encore ; milord , toutes ces preuves d' amour que vous voulez sont presque des crimes . <eos>	ADJ PUNCT PROPN PUNCT PRON VERB ADP DET NOUN DET NOUN PRON PRON VERB PUNCT ADV PUNCT PROPN PUNCT ADJ DET NOUN ADP NOUN PRON PRON VERB AUX ADV DET NOUN PUNCT
subj_rel_verb	25	tient	sing	plur	False	12	18	6	15	6072	False	"--Ne croyez-vous pas , prince "" , repris-je , "" que cet instinct de réalité que vous attribuez tient à ce qu' il est souvent commun ? <eos>"	PUNCT PRON ADV PUNCT NOUN PUNCT PUNCT PRON PUNCT PUNCT SCONJ DET NOUN ADP NOUN PRON PRON VERB VERB ADP PRON SCONJ PRON AUX ADV ADJ PUNCT
subj_rel_aux	26	est	sing	plur	False	2	8	6	5	884505	False	--Que ce morceau de pain qu' ils gagnent est amer ! <eos>	PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX ADJ PUNCT
subj_rel_verb	27	demanda	sing	sing	False	33	39	6	36	923	False	--Quelqu' un me racontait , qu' une de ses parentes ayant été nommée dame d' honneur d' une princesse , sous Louis XVI , le jour où elle entra en charge , la dame d' honneur qu' elle remplaçait demanda si elle avait fait _ sa toilette _ , et sur son étonnement , lui révéla le secret du mot . <eos>	PRON PRON PRON VERB PUNCT SCONJ PRON ADP DET NOUN AUX AUX VERB NOUN ADP NOUN ADP DET NOUN PUNCT ADP PROPN NUM PUNCT DET NOUN ADV PRON VERB ADP NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB VERB SCONJ PRON AUX VERB PUNCT DET NOUN PUNCT PUNCT CCONJ ADP DET NOUN PUNCT PRON VERB DET NOUN ADP NOUN PUNCT
subj_rel_aux	28	est	sing	sing	True	30	36	6	33	884505	False	--Raison de plus pour que je n' aie pas appris chez eux l' argot de la banque , qui me déchire ici les oreilles du matin au soir ; ce bruit d' écus qu' on compte est odieux , et je ne sais que le son de votre voix qui me soit encore plus désagréable . <eos>	VERB ADP ADV ADP SCONJ PRON ADV AUX ADV VERB ADP PRON DET NOUN ADP DET NOUN PUNCT PRON PRON VERB ADV DET NOUN NOUN NOUN ADP NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX ADJ PUNCT CCONJ PRON ADV VERB ADV DET NOUN ADP DET NOUN PRON PRON AUX ADV ADV ADJ PUNCT
subj_rel_aux	29	est	sing	sing	False	42	48	6	45	884505	False	--Sans doute , notre digne père est un gentilhomme accompli , prudent au conseil , hardi à l' action , parfait courtisan chez le roi , grand seigneur chez lui , docte et disert en toutes sortes de sciences ; mais le genre d' amusement qu' il procure est un amusement grave , et je ne veux pas que ma chère sœur consume sa jeunesse d' une façon solennelle et maussade . <eos>	VERB NOUN PUNCT DET ADJ NOUN AUX DET NOUN ADJ PUNCT ADJ ADP NOUN PUNCT ADJ ADP DET NOUN PUNCT ADJ NOUN ADP DET NOUN PUNCT ADJ NOUN ADP PRON PUNCT ADJ CCONJ ADJ ADP DET NOUN ADP NOUN PUNCT CCONJ DET NOUN ADP NOUN PRON PRON VERB AUX DET NOUN ADJ PUNCT CCONJ PRON ADV VERB ADV SCONJ DET ADJ NOUN VERB DET NOUN ADP DET NOUN ADJ CCONJ ADJ PUNCT
subj_rel_verb	30	devait	sing	plur	False	7	13	6	10	6967	False	--Si l' humanité seule , si ce sentiment de bienveillance que nous éprouvons devait être le mobile de l' acquittement que nous sollicitons de vous , nous ferions appel à votre pitié , messieurs les jurés , à votre coeur de père et d' homme ; mais nous avons pour nous le droit , et c' est la seule question du droit que nous allons soulever devant vous ... <eos>	PUNCT DET NOUN ADJ PUNCT SCONJ DET NOUN ADP NOUN PRON PRON VERB VERB AUX DET NOUN ADP DET NOUN PRON PRON VERB ADP PRON PUNCT PRON VERB NOUN ADP DET NOUN PUNCT NOUN DET NOUN PUNCT ADP DET NOUN ADP NOUN CCONJ ADP NOUN PUNCT CCONJ PRON VERB ADP PRON DET NOUN PUNCT CCONJ PRON AUX DET ADJ NOUN ADP NOUN PRON PRON VERB VERB ADP PRON PUNCT
subj_rel_aux	31	est	sing	plur	False	19	25	6	22	884505	False	--Vous êtes un brave et digne soldat , dit M. de Rugès en lui tendant la main ; le sentiment d' humanité que vous manifestez est noble et généreux . <eos>	INTJ AUX DET ADJ CCONJ ADJ NOUN PUNCT VERB NOUN ADP PROPN ADP PRON VERB DET NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX ADJ CCONJ ADJ PUNCT
subj_rel_verb	32	peuvent	plur	sing	True	45	51	6	48	28160	False	83 _ , n1 à 5 ) , en usage dès les derniers temps quaternaires , se montre dans toutes les industries moins anciennes , jusqu' à nos jours ; il est fait d' os , d' ivoire ou de métal , et certains petits instruments de silex qu' on rencontre peuvent être considérés comme des armatures de harpons . <eos>	NUM PUNCT PUNCT SYM ADP NUM PUNCT PUNCT ADP NOUN ADP DET ADJ NOUN ADJ PUNCT PRON VERB ADP ADJ DET NOUN ADV ADJ PUNCT ADP ADP DET NOUN PUNCT PRON AUX VERB ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT CCONJ DET ADJ NOUN ADP NOUN PRON PRON VERB VERB AUX VERB ADP DET NOUN ADP NOUN PUNCT
subj_rel_aux	33	est	sing	plur	False	40	46	6	43	884505	False	: prononcez donc _ attribu-er , évalu-é , vous contribu-ez , mu-et , continu-ation , évalu-ation , du-o _ et non _ attribu-wer , évalu-wé , vous contribu-wez , mu-wet , continu-wation , évalu-wation , du-wo _ . - Le défaut de prononciation que nous signalons est extrêmement grossier , quoique pourtant il soit très-commun dans les provinces wallonnes ; nous devons en dire autant du défaut suivant . <eos>	PUNCT VERB ADV PUNCT X PUNCT VERB PUNCT PRON VERB PUNCT X PUNCT NOUN PUNCT NOUN PUNCT SYM PUNCT CCONJ ADV PUNCT X PUNCT X PUNCT PRON VERB PUNCT X PUNCT SYM PUNCT X PUNCT X PUNCT PUNCT PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX ADV ADJ PUNCT SCONJ ADV PRON AUX ADJ ADP DET NOUN ADJ PUNCT PRON VERB PRON VERB ADV ADP NOUN ADJ PUNCT
subj_rel_verb	34	peut	sing	plur	False	4	10	6	7	69592	True	= Corvée = .--Cette journée de travail que se prêtent peut s' appeler _ corvée _ , car ce mot implique non un travail volontaire , mais un travail obligatoire . <eos>	SYM PROPN SYM PUNCT NOUN ADP NOUN PRON PRON VERB VERB PRON VERB PUNCT NOUN PUNCT PUNCT CCONJ DET NOUN VERB ADV DET NOUN ADJ PUNCT CCONJ DET NOUN ADJ PUNCT
subj_rel_verb	35	prit	sing	sing	False	20	26	6	23	2769	False	A cette interrogation précise , l' honnête commissionnaire plongea la moitié de sa figure dans sa cravate , et l' espèce de sarabande qu' il exécutait prit un caractère plus flageolant . <eos>	ADP DET NOUN ADJ PUNCT DET ADJ NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT CCONJ DET NOUN ADP NOUN PRON PRON VERB VERB DET NOUN ADV ADJ PUNCT
subj_rel_aux	36	sont	plur	sing	True	13	19	6	16	264728	False	Ainsi , aux yeux de la vérité et de la justice , ces scènes de mort qu' elle ordonne sont autre chose que de lâches assassinats , que des crimes solennels , commis , non par des individus , mais par dos nations entières , avec des formes légales . <eos>	ADV PUNCT ADP NOUN ADP DET NOUN CCONJ ADP DET NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX ADJ NOUN SCONJ DET ADJ NOUN PUNCT SCONJ DET NOUN ADJ PUNCT VERB PUNCT ADV ADP DET NOUN PUNCT CCONJ ADP DET NOUN ADJ PUNCT ADP DET NOUN ADJ PUNCT
subj_rel_aux	37	a	sing	plur	False	34	40	6	37	355555	False	"Ainsi , par exemple "" ... il s' arrêta comme pour rassembler ses souvenirs ; reportant ensuite un regard clair et d' une candeur affectée sur Bennigsen .... "" par exemple , si la bataille de Friedland que vous devez a pas été à notre avantage , c' est précisément à cause d' une conversion semblable "" . <eos>"	ADV PUNCT ADP NOUN PUNCT PUNCT PRON PRON VERB SCONJ ADP VERB DET NOUN PUNCT VERB ADV DET NOUN ADJ CCONJ ADP DET NOUN VERB ADP PROPN PUNCT PUNCT ADP NOUN PUNCT SCONJ DET NOUN ADP PROPN PRON PRON VERB AUX ADV VERB ADP DET NOUN PUNCT PRON AUX ADV ADP NOUN ADP DET NOUN ADJ PUNCT PUNCT
subj_rel_aux	38	est	sing	plur	True	3	9	6	6	884505	False	Ainsi ce magnifique développement d' images que nous admirons est d' ordinaire issu d' une de ces petites métaphores banales que le parler courant nous apporte constamment sans que nous y pensions . <eos>	ADV DET ADJ NOUN ADP NOUN PRON PRON VERB AUX ADP ADJ ADJ ADP PRON ADP DET ADJ NOUN ADJ PRON DET NOUN ADJ PRON VERB ADV ADP SCONJ PRON PRON VERB PUNCT
subj_rel_aux	39	est	sing	sing	False	92	98	6	95	884505	False	Ainsi l' eau , par exemple , à l' instant même où elle cesse d' être glace , commenceroit à bouillir ; elle se transformeroit en un fluide aériforme , & ses molécules s' écarteroient indéfiniment dans l' espace : s' il n' en est pas ainsi , c' est qu' une troisième force , la pression de l' atmosphère , met obstacle à cet écartement , & c' est par cette raison que l' eau demeure dans l' état fluide depuis zéro jusqu' à 80 degrés du thermomètre françois ; la quantité de calorique qu' elle reçoit est insuffisante pour vaincre l' effort occasionné par la pression de l' atmosphère . <eos>	ADV DET NOUN PUNCT ADP NOUN PUNCT ADP DET NOUN ADV ADV PRON VERB ADP AUX ADJ PUNCT VERB ADP VERB PUNCT PRON PRON VERB ADP DET NOUN ADJ PUNCT CCONJ DET NOUN PRON VERB ADV ADP DET NOUN PUNCT SCONJ PRON ADV PRON VERB ADV ADV PUNCT PRON PRON SCONJ DET ADJ NOUN PUNCT DET NOUN ADP DET NOUN PUNCT VERB NOUN ADP DET NOUN PUNCT CCONJ PRON AUX ADP DET NOUN SCONJ DET NOUN VERB ADP DET NOUN ADJ ADP NUM ADP ADP NUM NOUN DET NOUN ADJ PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX ADJ ADP VERB DET NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT
subj_rel_aux	40	est	sing	plur	False	15	21	6	18	884505	False	Alors ils ne subissent pas seulement leurs maux , ils les jugent , et le commencement de mépris qu' ils éprouvent est le commencement de leur sagesse . <eos>	ADV PRON ADV VERB ADV ADV DET NOUN PUNCT PRON PRON VERB PUNCT CCONJ DET NOUN ADP NOUN PRON PRON VERB AUX DET NOUN ADP DET NOUN PUNCT
subj_rel_verb	41	vinrent	plur	sing	True	24	30	6	27	354	False	Après quelques jours écoulés dans de douces causeries sur la France et tout ce qu' elle renfermait de cher à nos coeurs , quelques sentiments de tristesse que j' avais vinrent se mêler à ma joie . <eos>	ADP DET NOUN VERB ADP DET ADJ NOUN ADP DET PROPN CCONJ DET PRON PRON PRON VERB ADP ADJ ADP DET NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB VERB PRON VERB ADP DET NOUN PUNCT
subj_rel_verb	42	font	plur	sing	True	4	10	6	7	15341	False	Au contraire , les choses du passé qu' il admire font une compagnie enchantée , très heureusement muette , et qui lui suffit . <eos>	ADP NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB VERB DET NOUN ADJ PUNCT ADV ADV ADJ PUNCT CCONJ PRON PRON VERB PUNCT
subj_rel_aux	43	était	sing	sing	False	13	19	6	16	88321	False	Au hasard , sans réfléchir , car , dans son trouble , le sujet de diversion qu' elle proposait était lugubre , elle ajouta : <eos>	ADP NOUN PUNCT ADP VERB PUNCT CCONJ PUNCT ADP DET NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX ADJ PUNCT PRON VERB PUNCT
subj_rel_aux	44	est	sing	sing	False	16	22	6	19	884505	False	Au reste mon père acheta bien cher la réputation d' ami zélé , et cependant la preuve de loyauté qu' il donna est bien au dessous de celle que je vais vous fournir ; car j' aimerais mieux attaquer tous les saints du calendrier que de mettre ma lance en arrêt contre Coeur-de-Lion . <eos>	ADP NOUN DET NOUN VERB ADV ADJ DET NOUN ADP NOUN ADJ PUNCT CCONJ ADV DET NOUN ADP NOUN PRON PRON VERB AUX ADV ADP ADV ADP PRON PRON PRON VERB PRON VERB PUNCT CCONJ PRON VERB ADV VERB ADJ DET NOUN ADP NOUN SCONJ ADP VERB DET NOUN ADP NOUN ADP PROPN PUNCT
subj_rel_verb	45	parait	sing	sing	False	39	45	6	42	487	False	Aussi , à contempler la puissance , la prospérité et les chefs-d' oeuvres artistiques et littéraires de l' Espagne au seizième siècle , on conçoit qu' un seul homme ait pu menacer la liberté du monde , et ce rêve de monarchie qu' on prête parait autre chose qu' une vaine chimère inventée par la peur et propagée par la crédulité . <eos>	ADV PUNCT ADP VERB DET NOUN PUNCT DET NOUN CCONJ DET NOUN NOUN ADJ CCONJ ADJ ADP DET PROPN ADP ADJ NOUN PUNCT PRON VERB SCONJ DET ADJ NOUN AUX VERB VERB DET NOUN ADP NOUN PUNCT CCONJ DET NOUN ADP NOUN PRON PRON VERB VERB ADJ NOUN SCONJ DET ADJ NOUN VERB ADP DET NOUN CCONJ VERB ADP DET NOUN PUNCT
